pl_name,hostname,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,pl_orbsmax,pl_orbper,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,st_logg,KMeans_Cluster,HZ_Status,ESI
Kepler-1597 b,Kepler-1597,1.06,1.2,5.54,1709.9298671807694,1431.311,0.04136,2.94654179,0.0,6377.0,1.39,1.25,0.43429,4.24,3,Outside HZ,0.5378626967991813
Kepler-687 b,Kepler-687,3.52,12.2,1.54,518.0,15.648,0.1326,20.50586978,0.0,4841.0,0.73,0.77,-0.56669,4.6,0,Outside HZ,0.598551602898635
Kepler-1596 b,Kepler-1596,1.9,4.27,3.42,668.2052345979266,33.378,0.3237,66.373379,0.0,5706.0,0.92,0.95,0.43061,4.49,0,Outside HZ,0.6763870154474468
Kepler-692 b,Kepler-692,3.11,9.85,1.8,639.0,28.504,0.1495,21.81293494,0.0,5440.0,0.86,0.9,-0.23346,4.53,0,Outside HZ,0.5839799132588207
Kepler-150 c,Kepler-150,3.69,13.2,1.44,942.4603820150418,132.091,0.073,7.381998,0.0,5560.0,0.939,0.956,-0.16141,4.466,3,Outside HZ,0.47733723152862484
Kepler-1494 b,Kepler-1494,3.07,9.64,1.83,483.0144667508481,9.113,0.3982,91.080482,0.0,5659.0,0.94,0.96,0.07901,4.48,0,Outside HZ,0.6422069453010664
Kepler-1502 b,Kepler-1502,3.18,10.2,1.74,824.3722686307996,77.324,0.2482,41.7083629,0.0,6666.0,1.72,1.44,0.74202,4.13,0,Outside HZ,0.5293367429963935
Kepler-1490 b,Kepler-1490,3.04,9.48,1.85,348.0,3.788,0.3729,92.4362973,0.0,5515.0,0.87,0.9,-0.31879,4.52,0,Outside HZ,0.7081382094690818
Kepler-1491 b,Kepler-1491,1.51,2.89,4.61,953.0144923621547,138.108,0.127,16.5861762,0.0,5728.0,0.99,1.0,0.35471,4.45,3,Outside HZ,0.635327474906071
Kepler-171 b,Kepler-171,2.34,6.08,2.61,1160.985366946712,304.178,0.05,4.166972,0.0,5642.0,0.839,0.978,-0.07917,4.566,3,Outside HZ,0.5167611133735732
Kepler-1926 b,Kepler-1926,2.31495961,5.97,2.64,451.0,9.8,0.2197,42.87770081,0.0,5256.0,0.832,0.768,-0.64728,4.483,0,Outside HZ,0.7216001486739176
Kepler-1631 b,Kepler-1631,1.35,2.39,5.34,1278.2086657438479,446.918,0.0511,4.09513932,0.0,5679.0,0.95,0.97,0.00722,4.47,3,Outside HZ,0.5836887997613721
KOI-1599.02,KOI-1599,1.9,9.0,7.21,822.9988667431251,76.81,0.112293,13.6088,0.0114,5833.0,0.972,1.02,0.16196,4.472,0,Outside HZ,0.6234098982927546
Kepler-719 b,Kepler-719,8.52,54.5,0.484,1087.6235427029453,234.28,0.0556,5.007317779,0.0,5777.0,0.98,0.99,0.44767,4.45,2,Outside HZ,0.32252465854905943
Kepler-734 b,Kepler-734,3.56,12.4,1.51,854.4700642276725,89.25,0.0583,6.104852856,0.0,5326.0,0.78,0.85,0.37395,4.59,0,Outside HZ,0.5017955237641336
Kepler-1408 b,Kepler-1408,0.89,0.64,4.99,1854.9635854543346,1982.268,0.04218,2.99793191,0.0,6170.0,1.35,1.21,0.57889,4.25,3,Outside HZ,0.507732561456806
Kepler-1427 b,Kepler-1427,1.1,1.37,5.66,2009.5820310336599,2730.51,0.0197,0.968972376,0.0,5793.0,1.01,1.01,0.0156,4.44,3,Outside HZ,0.4978322513588219
